"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,"CASE_SUM"
"Haldummulla",91,"Haldummull",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0
"Haliela",92,"Hali-Ela",0,2,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,2,0,2,1,2,0,0,0,1,2,0,2,1
"HAMBANTOTA",93,"Hambantota",0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,4,0,3,0,2,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,3,1
"HANGURANKETHA",94,"Hanguranke",2,3,1,3,2,1,1,6,2,3,1,3,2,3,2,0,0,1,3,0,0,1,7,2,1,4,2,0,1,1,0,4,0,1,0,1,1,0,1,1,0,3,0,1,0,0,1,1,0,0,0,1
"HANWELLA",95,"Hanwella",1,0,1,4,2,5,2,3,3,4,0,0,2,0,0,4,7,1,3,1,6,6,4,16,28,8,11,21,9,25,4,38,21,20,8,22,8,15,7,8,6,21,5,9,14,12,16,5,6,9,16,8
"Haputhale",96,"Haputale",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,2,0,0,3,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
,,"Harispattu",5,13,8,13,8,9,7,5,3,0,1,1,4,1,1,5,3,2,3,1,4,3,8,4,5,7,9,4,4,4,4,6,1,5,2,3,2,5,2,1,8,7,2,8,4,6,5,2,2,3,7,3
,,"Hasalaka(M",0,2,0,1,0,1,0,0,6,1,1,0,0,1,0,0,0,0,1,0,0,2,0,5,0,1,1,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"HATHARALIYADDA",98,"Hataraliya",1,0,0,1,0,0,1,5,2,0,1,0,2,0,0,1,0,3,0,0,0,0,0,0,1,1,1,1,1,2,0,2,1,3,0,0,0,0,0,0,0,4,0,0,1,0,0,1,2,0,0,0
"HIKKADUWA",99,"Hikkaduwa",4,0,1,0,2,1,1,3,2,4,3,1,2,1,2,1,1,2,0,1,7,2,4,2,4,4,7,2,0,3,1,4,1,1,2,1,3,3,1,1,1,0,2,1,1,1,0,1,3,2,0,2
"HINGURAKGODA",100,"Hingurakgo",0,2,1,0,0,0,4,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,4,0,1,0,1,1,0,0,0,3,0,3,0,0,1,0,3,1,0,1,1,0,0,0,0,1,1,13,2,1
"HOMAGAMA",101,"Homagama",18,9,17,14,8,9,7,6,11,7,9,10,8,3,5,2,14,13,4,9,10,5,11,10,6,13,16,18,7,15,10,12,10,12,5,7,5,4,4,7,3,9,8,9,10,6,11,5,19,5,4,5
"HORANA",102,"Horana",1,3,1,2,1,1,0,1,1,2,2,2,0,3,3,3,4,2,2,1,1,1,4,1,5,3,6,6,9,8,2,5,4,0,0,1,0,2,2,0,3,0,3,6,4,0,1,3,2,1,0,1
"HOROWPOTHANA",103,"Horowpatha",0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Ibbagamuwa",104,"Ibbagamuwa",3,0,5,1,5,0,3,3,1,1,1,0,2,0,1,1,1,2,0,3,1,1,4,0,0,1,9,2,6,1,1,3,2,2,1,1,3,0,2,0,3,1,3,1,3,0,0,5,4,9,3,5
"IMADUWA",105,"Imaduwa",3,0,2,0,0,5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,3,0,2,1,1,2,3,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,2,1,0,2,0,0
"IMBULPE",106,"Imbulpe",2,0,0,3,0,0,2,1,1,2,1,1,1,0,1,2,1,2,0,1,1,1,0,0,0,4,1,4,0,1,1,1,1,0,0,0,2,0,1,0,1,1,2,5,0,0,1,1,2,1,1,1
,,"Induruwa",0,1,0,2,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,2,1,0,0,0,2,2,0,0,1,1,1,0,1,0,0,0
