,"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,"CASE_SUM"
189,"GAMPAHA",81,"Gampaha",6,5,3,8,5,8,5,4,1,4,4,9,2,8,5,5,7,8,10,0,9,4,4,6,5,9,8,9,9,10,11,2,5,7,14,6,8,2,5,6,14,4,5,1,13,5,6,6,5,6,10,8,329
165,,,"Gampola(Ud",0,7,1,5,2,3,0,0,1,4,0,3,0,2,2,1,1,4,3,2,0,7,2,6,6,2,3,4,2,2,2,0,0,1,2,1,2,2,3,1,0,2,1,0,0,1,3,0,1,2,0,2,101
72,"Ganewatta",82,"Ganewatta",5,1,2,5,4,3,0,0,0,1,0,0,0,0,0,2,0,3,3,0,0,0,0,0,2,1,1,2,1,1,2,0,0,0,1,2,2,0,1,0,0,0,1,1,0,0,1,2,1,2,0,1,54
100,"KANDY FOUR GRAVETS & GANGAWATA KORALE",125,"Gangawatakorale",3,4,1,1,4,2,5,5,2,2,2,0,1,3,2,2,1,5,0,1,1,0,3,4,1,1,5,2,1,0,3,1,2,0,1,1,1,0,1,0,0,0,3,0,6,3,2,0,0,2,0,1,91
56,"Girandurukotte",84,"Girandurukotte",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,13
286,"Giribawa",85,"Giribawa",0,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,1,0,1,2,1,0,0,0,1,1,24
174,"GODAKAWELA",86,"Godakawela",3,0,6,1,0,0,0,3,5,3,3,2,0,7,2,2,1,1,1,3,0,3,4,2,1,2,0,3,0,3,1,1,0,1,2,1,0,0,2,2,0,1,0,0,2,0,0,0,0,2,0,0,76
31,"GORAMANKADAWELA",88,"Gomarankadawala",0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7
43,"GONAPINUWALA",87,"Gonapinuwala",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,15
182,"HABARADUWA",89,"Habaraduwa",0,0,0,1,0,0,0,2,1,2,2,1,0,0,0,0,0,0,2,1,1,4,1,0,2,0,3,2,0,1,0,1,2,0,3,2,1,4,4,0,0,0,0,0,0,2,3,1,1,0,1,3,54
192,"HAKMANA",90,"Hakmana",0,0,1,0,0,0,4,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
148,"Haldummulla",91,"Haldummull",0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,19
116,"Haliela",92,"Hali-Ela",0,2,1,1,0,0,3,1,1,4,2,3,1,0,0,0,0,8,3,0,0,0,1,1,0,0,2,0,4,2,1,1,2,1,1,0,2,1,1,1,1,1,1,0,2,0,1,0,1,0,1,0,59
80,"HAMBANTOTA",93,"Hambantota",2,0,1,1,1,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,2,3,27
275,"HANGURANKETHA",94,"Hanguranketha",0,1,0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,1,0,2,1,1,1,0,0,0,2,2,0,0,1,2,0,1,0,2,0,0,0,0,0,0,3,2,0,33
