"cell","resident","work"
40732,5094,1031
40733,4507,1494
40766,4899,870
40810,3035,1985
40894,2278,300
40933,6858,2771
40936,3108,481
40939,3831,624
40954,2989,1314
40982,3141,402
41021,65,71
41024,4868,421
41061,289,154
41157,5472,361
41183,6089,953
41200,3781,381
41262,48,15
41265,1514,252
41270,1277,498
41277,3875,935
41318,291,41
41401,2151,238
41407,3415,640
41437,8577,664
41459,2997,334
41465,2472,234
41469,3976,1203
41508,3224,587
41520,2381,267
41522,11530,2070
41526,26,4
41532,859,275
41558,3343,662
41635,5547,787
41653,17183,1489
41658,4794,382
41692,2476,327
41696,4901,402
41764,5611,1122
41772,1402,376
41893,837,143
41904,3547,383
41905,1110,148
41936,3805,608
41941,3321,460
41958,3459,521
41990,1172,182
42023,5226,783
42026,170,45
42029,34,13
42074,1548,327
42085,1881,241
42095,605,94
42147,360,80
42160,2624,373
42200,1123,166
42213,3692,362
42267,1454,203
42271,3895,712
42274,3545,707
42283,4662,961
42291,1639,368
42342,114,22
42411,11346,834
42438,5475,1022
42454,2175,301
42471,2810,247
42478,3489,412
42487,795,125
42503,2595,253
42514,345,74
42521,46,12
42533,69,10
42644,533,95
42661,6705,1097
42695,1269,175
42744,2343,529
42750,2738,232
42846,1404,452
42905,1727,327
42912,4458,336
42939,1591,507
42940,5516,1292
42944,4624,1453
42949,3261,495
43011,3645,447
43021,4050,343
43030,6307,806
43151,6112,782
43160,3760,379
43162,3556,2631
43213,2678,395
43220,1120,123
43261,874,1256
43412,3170,304
43413,2241,1105
43440,3570,353
43443,4847,758
43449,1357,249
43483,1419,365
43484,2394,1156
43494,788,189
43518,1053,172
43523,2958,532
43526,1471,336
43530,2823,837
43571,6355,796
43642,4396,615
43662,4102,593
43738,1259,157
43760,6155,1676
43779,3297,562
43914,4517,386
43957,2310,290
43980,2004,341
43984,217,116
43992,815,145
43995,1038,271
44002,2228,735
44039,3204,448
44194,4671,1014
44197,1428,195
44204,2489,290
44215,4524,1218
44226,2599,316
44247,727,319
44255,900,92
44282,1354,517
44284,2057,886
44356,1944,246
44470,8399,4050
44486,2388,329
44503,2284,994
44504,855,658
44510,4004,690
44517,3087,263
44534,3186,3488
44578,1339,388
44666,2286,211
44694,4878,372
44697,3696,417
44716,1291,218
44724,2608,256
44743,972,180
44755,182,78
44756,899,1942
44757,1112,821
44758,1679,298
44786,11920,3335
44787,1474,167
44911,3868,373
44963,3618,664
45005,1530,540
45006,648,805
45007,1996,6491
45008,888,1255
45039,1264,259
45114,327,40
45168,4935,399
45200,4659,1485
45203,2933,414
45208,4343,1013
45237,3100,267
45254,1192,323
45256,485,121
45258,120,522
45261,1014,402
45265,256,35
45266,2665,541
45401,2958,519
45479,2301,206
45502,653,153
45507,1277,460
45509,1484,384
45526,1746,285
45538,49,21
45582,3032,561
45661,4442,822
45701,1272,221
45703,1752,180
45716,2988,315
45720,2346,269
45725,1720,436
45735,1629,193
45747,1251,163
45766,2099,386
45793,141,57
45795,6467,1205
45919,11859,1928
45948,2580,249
46008,1873,300
46036,797,98
46041,2711,496
46052,397,87
46074,137,20
46145,289,61
46202,1070,228
46209,6022,557
46242,2317,516
46265,1397,136
46372,1662,671
46384,702,170
46455,1816,245
46508,1992,350
46523,5249,1225
46538,1541,306
46565,77,30
46574,1040,248
46626,1670,333
46700,694,74
46738,2191,280
46770,597,66
46778,2100,782
46787,96,40
46803,4526,1259
46954,967,151
46964,2791,534
46972,2221,223
46976,2123,175
46981,3169,367
47011,778,127
47015,2610,390
47047,1046,161
47253,1805,288
47288,3309,347
47295,3367,625
47342,1766,296
47454,2184,2574
47535,489,96
47543,102,50
47705,7891,2169
47709,1637,227
47711,2067,291
47758,1620,227
47806,3596,589
47889,131,35
47926,4434,549
47968,3327,508
47972,2591,665
47977,1649,293
47982,1993,219
48032,4269,602
48209,1423,187
48239,2964,893
48244,2726,380
48278,1437,185
48420,7832,1129
48427,377,84
48499,1600,210
48503,1762,261
48552,2846,606
48584,582,115
48713,3984,496
48759,3465,1429
48848,4537,641
48898,1404,293
49017,2915,312
49049,4863,661
49229,873,94
49241,2082,188
49472,2296,238
49483,1372,224
49542,4154,756
49555,1064,158
49679,3559,486
49750,3441,634
49760,1349,172
49777,2457,479
49968,1127,325
50053,2531,238
50103,3802,999
50180,10574,1363
50285,2358,329
50430,7284,991
50470,2784,346
50494,4179,410
50511,1437,195
50549,838,117
50680,5384,910
50682,5071,525
50731,1501,313
50812,2552,748
50872,1774,177
51029,216,49
51046,1085,156
51053,2966,468
51056,4229,399
51162,3901,712
51177,4277,1048
51182,4250,682
51228,1739,176
51258,3533,548
51430,3921,1765
51431,1141,2115
51432,3760,701
51520,1283,214
51681,1180,652
51682,6971,3109
51725,2436,315
51790,2243,315
51832,381,183
51857,1543,335
51931,1021,243
51932,2196,371
51986,1138,157
52003,3970,381
52182,7373,740
52244,2347,207
52259,5297,1991
52280,1238,250
52319,455,75
52473,2775,299
52518,1878,220
52631,155,43
52679,3873,578
52729,780,164
52811,6758,1563
52983,1568,234
52988,1951,281
52993,1417,197
53000,478,142
53016,1798,215
53027,541,87
53072,1573,205
53090,1395,302
53177,2368,549
53178,5428,644
53381,2322,469
53427,4006,1318
53429,9593,1172
53761,1609,292
53774,1319,180
