"moh",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"Angunakola",2,1,0,1,1,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,3,0,2,2,1,0,3,0,0,0,0,0,1,1,2,1,3,0,0,0,1,0,1,0,1
"Beliatta",1,4,1,2,4,2,2,2,2,1,1,1,1,1,0,1,0,1,1,0,0,1,1,2,0,1,3,1,2,4,2,1,3,0,2,0,0,1,0,2,2,3,2,3,0,2,0,1,0,0,0,0
"Hambantota",0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,4,0,3,0,2,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,3,1
"Katuwana",5,2,1,1,5,3,2,4,4,0,2,0,3,4,0,2,1,0,0,2,1,0,5,2,0,2,0,3,3,2,5,8,2,8,5,4,2,4,5,3,0,11,2,10,4,3,7,7,1,3,2,1
"Tangalle",1,0,2,6,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,2,0,1,1,4,1,3,0,3,0,2,2,1,0,2,1,0,0,1,3,2,0,1,2,0,1,0,0,1,0,0,1,0
"Tissamahar",3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,2,0,0,4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"Walasmulla",3,2,1,2,1,2,5,6,6,2,1,1,3,1,1,2,1,1,0,2,1,3,0,2,3,0,2,1,1,1,3,0,0,1,1,1,0,2,0,2,0,1,0,2,0,0,1,0,1,1,0,1
"Lunugamveh",0,0,3,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,2,0
"Sooriyawew",0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"Weeraketiy",0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
